Query_Id	Post_Title	Post_Body	QE_Entities	ST_Entities	ECO_Entities
54	Is my anemia getting worse or is it something else?	I was diagnose with anemia a few months, I am 16. I have been taking iron tablets, but the other day i was in class and got really dizzy, i left the room and the teacher came out, tried to keep me talking and kept telling me to breathe. It's almost like my body wanted to pass out but i was fighting it, if that makes sense. I was shaking uncontrollably, and was starting to hyperventilate. I was finding it very hard to breathe, my face and arms went numb and i was struggling to talk. at that stage i was laying down with my feet up on a chair, the next thing i know there's 2 teachers running towards me, when they got to me they had their hands around my wrists trying to find my pulse, they struggled to find it. I couldn't keep my eyes open, and my face went as white as a ghost. I don't remember much of what happened, but what i do remember, it's not very clear in my mind. I'm really scared it'll happen again, do you think anemia is getting worse? Also is there anything i can do if that happens again?	['Iron', 'Psyche structure', 'Running (physical activity)', 'Anemia']	[]	['Anemia', 'Iron', 'Iron deficiency anemia', 'Hemoglobin', 'Hemorrhage', 'Pain']
56	Type 1 diabetic - Stomach problems (Long burps)	I've been having really back stomach problems for several months now. The main problem is my burps get trapped in my stomach daily and it feels like I'm going to fall over. It takes time, but finally it starts... 10 to 20 second burps, it's not fun. Sometimes it'll last for up to 30 minutes. Also I've developed Acid Reflux... and it feels like a heart attack every time. My bowels are never consistent and had my gallbladder removed about 10 years ago. I've been type 1 diabetic for 24 years now and afraid it's only going to get worse. I've lost about 15 lbs. in the past month. I'm only 34 yrs. old. Also I started exercising everyday, but it seems like it's just triggering it. I cut out all soda and caffeine drinks. Some days the only thing I can eat is toast and crackers. I had to go to the E.R. a couple times, but they can't find anything wrong besides anxiety and reflux... something isn't right. I've had a stress test and gastric empty scan and passed both. I'm in the process of switching doctors because he won't listen to me... he thinks it's all anxiety related. I'm just wondering if anyone else has these problems and if so, what are you doing to help the symptoms? It's killing me... I take 80 mg of prilosec and half a bottle of gaviscon chews daily and a couple alka seltzer. That can't be healthy Any help would be appreciated.	['Alka-Seltzer', 'Caffeine', 'Anxiety', 'Prilosec', 'Eructation', 'Gastroesophageal reflux disease', 'Exercise stress test', 'Gaviscon', 'Does chew (finding)', 'reported prior stomach problem', 'Myocardial Infarction']	['Ritonavir', 'Communicable Diseases', 'reported prior stomach problem', 'Diabetes', 'Eructation']	['Diabetes Mellitus, Non-Insulin-Dependent', 'Insulin', 'Diabetes Mellitus, Insulin-Dependent', 'reported prior stomach problem', 'Blood Glucose', 'interferon alfacon-1', 'Fatigue', 'Diabetes', 'Anxiety', 'Urticaria', 'rivastigmine', 'meropenem', 'Disopyramide', 'Gastroesophageal reflux disease', 'Glucose', 'Source of energy', 'Eructation', 'Atrial Fibrillation']
57	Diabetics 2 & weight Loss Relation	Dear Doctor, I am 37 Years old, Diabetics Type 2 ( take 1500 Metformin), under control with 95-125 always (fasting - normal). Doubt I have these days I am losing weight without any effort, no change with exercise or Diet. Was 70.5, now 68 and this change in 15 Months period. Generally I have only take 3 meal, 0830 BF, 1330 Lunch, 0830 Dinner. I love to be fit but not by losing weight. Is this something normal with age and type2 diabetics, or some adjustments required with Diet or can be some other disease symptoms ?? Sometimes I have burning feeling at right top abdomin, that time have Gas issues & with Antacids etc it gets over with a few days). Other than that in general healthy.	['Burning sensation', 'Exercise', 'Fitzpatrick Skin Type II', 'Supper', 'Antacids', 'Lunch', 'Metformin', 'Fasting']	[]	['Diabetes Mellitus, Non-Insulin-Dependent', 'Insulin', 'Diabetes Mellitus, Insulin-Dependent', 'Blood Glucose', 'Fasting', 'Fatigue', 'Diabetes', 'Carmustine', 'Baraclude', 'Burning sensation']
58	Type 1 diabetic and need to gain weight	I m type 1 diabetic taking 19 unit and 16 unit huminsulin of 28 yr age.My height is 178 cm and my weight is 53kg only.My last HbA1C level was 6.7.From last nine year weight of mine is always average 53 kg.Need to increase my weight and any good suggestion is welcomed. With Regard DiabSick	['Glycosylated hemoglobin A']	[]	['Blood Glucose', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Insulin', 'Diabetes Mellitus, Insulin-Dependent', 'Diabetes']
59	Diabetic Neuropathy; Celiac Disease	Hello All. I am new to this so please be gentle. I am 27 and I have type 1 Diabetes, for 20 years. Diagnosed with Celiac at 17 I have had pain for almost 5 years now and it is getting worse. I am unable to go a night without having my entire arms numb and tingly (so uncomfortable and odd feeling) and when I wake up I feel the most atrocious horrifying pain in my life! I just was seen by a new doctor, a pain management specialist, who was quite sharp with me by the way, but offered me some help once I told her I would rather get my prescriptions from my primary because he has been my dr for over a year now. She said she needed to see my chart and my tests that were done and go from there but the pain is getting worse and worse! I have a baby, he is 5 months old, and since he has been born the pain has been getting worse. I am assuming it is from the holding and feeding and putting to sleep of lil guy, and other things as well. I am also wondering if my celiac has anytihng to do with a nerve damage interaction. Probbly not but thought I'd ask anyways. I am on 60mg MSContin 3x a day every 8 hours; Norco 10/325 4x a day (but has been becoming more like 6x per day since the pain has been getting worse) I really need to get some insight on how this is affecting me in the long run. Will I lose all sensation in my arms and hands in a year from now?? What should I do in themorning when the pain is to the point where I want to just scream andcry!? Thanks for all your help/	['Running (physical activity)', 'Acute lymphocytic leukemia', 'Diabetes Mellitus, Insulin-Dependent', 'Insight', 'Norco', 'Celiac Disease', 'Nerve injury', 'Pain']	['Disease', 'Celiac Disease', 'Diabetes', 'Diabetic Neuropathies']	['Diabetes Mellitus, Non-Insulin-Dependent', 'Insulin', 'Diabetes Mellitus, Insulin-Dependent', 'Blood Glucose', 'Diabetes']
62	High level of blood sugar.	Hello this is my first post. So my father has a type 2 diabetes. He is 68 years old and thin. He has no other health problem except diabetes. Even though my father exercices everyday walking and riding bicycle his blood sugar stays at high levels. He does take medicine for the illness. Also his diet is pretty strict too, he doesnt eat any food that has sugar. Maybe only the bread might be the case but its black so i think there is no problem there either. Today he tested his Fasting blood sugar at the morning after being tired from exercicing and it was 190. After eating lunch it was 240. This has been happening for a long time so it is not the first time. Also my father might had diabetes for 20 years and more. But it has been only 6-7 years after he noticed it. So is this normal for a person that has diabetes or not? Maybe his body is used to that level of blood sugar? Thanks in advance	['Sugars', 'Walking (activity)', 'Blood Glucose', 'Diabetes', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Lunch']	['Diabetes Mellitus, Insulin-Dependent', 'Latent autoimmune diabetes mellitus in adult', 'Diabetes', 'Blood Glucose']	['Diabetes Mellitus, Non-Insulin-Dependent', 'Coronary Arteriosclerosis', 'Insulin', 'Diabetes Mellitus, Insulin-Dependent', 'Blood Glucose', 'Diabetes', 'Glucose']
63	Type 1 Diabetic with severe muscle spasms	I'm a type 1 Diabetic for 30 years. About a year ago I started having muscle twitching which escalated in to muscle spasms. They have become severe and very painful. I've tried Neurontin 1800mg per day which worked to lessen the spasms for awhile. When that stopped working they put me on Cymbalta 30mg twice a day which worked for about 3 weeks. Then they put me on 30mg Cymbalta and 300 Neurontin every 12 hours. This combination has now stopped working. PLEASE HELP ME!!! I am so frustrated and losing hope of finding relief. I am forced to take Ambien every night because I cannot sleep without it because of the pain. Please, anyone been through this? Any advise/suggestions? Please help!!	['Neurontin', 'Spasm', 'Cymbalta', 'Ambien', 'Stopped work', 'Muscle twitch', 'Pain', 'Hope (emotion)']	['Spasm', 'Norvir', 'Diabetes']	['Diabetes Mellitus, Non-Insulin-Dependent', 'Insulin', 'Diabetes Mellitus, Insulin-Dependent', 'Blood Glucose', 'Diabetes']
64	Over weight diabetic husband with leg cramps	Hello - My husband is 6ft, 330 pounds. He has been diagnosed with diabetes now for almost 10 years. After not controlling his diabetes for several years he has been put on incillin. For the last 4 years he has been getting leg cramps. Sometimes in his calfs other times in his upper thigh. When I say leg cramps I mean severe, can't move can't breath, horrific cramps. Lately, it has been happening every night. I am so concerned that even at 43 this has something to do with his heart and he is on the verge of having a heart attack, but he is convinced it is a result of a back surgery he had 13 years ago. We have checked his blood sugar when the cramps take place and it is not low nor extremely high. We have also tried eating bananas, v-8, TONS of water and potassium pills. None which seem to help. Are these symptoms a sign of his heart struggling or is this symoptomatic of something else. PS I know you can not diagnose over the internet, but opinions and otherwise educated advice would be greatly appreciated.	['Blood Glucose', 'Diabetes', 'Myocardial Infarction', 'Muscle Cramp', 'Water', 'Cramps of lower extremities']	['rivastigmine', 'Diabetes', 'Cramps of lower extremities']	['Diabetes Mellitus, Non-Insulin-Dependent', 'Insulin', 'Diabetes Mellitus, Insulin-Dependent', 'Blood Glucose', 'Cramps of lower extremities', 'Diabetes', 'linezolid', 'Glucose', 'Interferon Alfa-2b', 'Muscle Cramp']
65	Crohn's Disease treatment options	Well, here is my story. In Sept. of 2004 I had my gallbladder removed. After that everything went downhill. My bowel movements were like pure bile The doctor said that was normal after gallbladder removal and things would get better. After 5 months of this and constant trips to the bathroom my doctor that removed my gallbladder referred me to a GI doc. Feb. 2005. She did a colonoscopy and said it was Crohn's disease. Said there was alot of inflammation and several ulcers at the terminal ileum. I started out on sulfasalazine and Took that for 6 months then started Pentasa. After a year on the meds I was doing much better, seemed to have things under control. Doctor told me she didn't think it was Crohn's disease after all because she thought the ulcers may have had to do with the anti-inflammitorys and antibiotics I was on for a sinus infection I was so relieved this was Feb. of 2006. I was finally off all the medications. Well, in March of 2007 the symptoms started coming back full force. I believed it was just stress and read alot about gallbladder removal, and thought this was all normal. Finally in August of 2007 being totally exhausted and wondering what this could be I went back to my GI doc. She did another colonoscopy and said it was definatly small bowell Crohn's disease I was floored. This couldn't be happening. She started me on sulfasalazine again and Entocort for three months. Then, onto pentasa again. After going off the entocort things started getting worse again. After 10 days of being off Entoctort she put me back on it for another two months. I have been off of that for three months now but still taking the pentasa, and many vitamins Folic acid iron twiceTwice-a-day a day, vit. D,Calcium Magnesium , mutivitamin, and omeprezole. She did another calprotectin test and sent it to the mayo clinic, it came back Back at 413 (o-50) being normal. Aug. of 2007 it was 455, then in Dec. down to 339, then in march 229. I was sure it would be closer to normal at least hoping I guess. Anyway, she wants to do another colonoscopy in two weeks and for sure start me on 6-mp or Imuran. Maybe humira or remicade. I am so terrified of going on any of these. All I read about is all the bad side effects and it scares me to death If anyone is on any of these please give me some advice. I have been reading on natural substances like barleygrass and that all sounds good but not sure if it would actually help seeing how bad this flare has gotten...Please help....	['Crohn Disease', 'Ulcer', 'Sulfasalazine', 'Flare', 'Leukocyte L1 Antigen Complex', 'Simian Acquired Immunodeficiency Syndrome', 'Entocort', 'Pentasa', 'Imuran', 'colonoscopy', 'Antibiotics', 'Humira', 'Sinusitis', 'Inflammation', 'Remicade', 'Iron+folic acid', 'Calcium + magnesium', 'Hope (emotion)']	[]	['Sore to touch', 'Imuran', 'Abdominal Pain', 'Muscle Cramp', 'Communicable Diseases', 'Remicade', 'mesalamine', 'Visceral Myopathy', 'Perforation (observation)', 'Calcium + magnesium', 'Unexplained fevers', 'Diarrhea', 'Tachycardia', 'Severe diarrhea', 'Inflammatory Bowel Diseases', 'Crohn Disease', 'Bumetanide', 'Urticaria', 'Inflammation', 'Budesonide', 'Simian Acquired Immunodeficiency Syndrome', 'Ulcer', 'colonoscopy', 'tetracycline hydrochloride', 'Malnutrition', 'Humira', 'Sinusitis', 'Pain', 'Ulcerative Colitis', 'NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE VI']
66	Losing Weight from Crohns	I am 21 years old, diagnosed with Crohn's at 18. Ive had a few surgeries for abscesses that showed up near my rectum. Ive had fistulas as a result of the abscesses and been losing weight for too long. Right now I am on Prednisone and Asacol to maintain my weight. I have been hovering at around 120 pounds and no matter how hard I try, I cannot gain weight! My doctor now wants me to start on 6mp and from what I've read about it, I'm terrified! When my weight goes up, my other symptoms seem to fade. I do not want to risk cancer or some crazy, ridiculous side effect from some experimental medication. I am severely underweight and I need advice on what to do. Any help would be much appreciated!	['Crohn Disease', 'Malignant Neoplasms', 'Asacol', 'Abscess', 'Prednisone']	[]	['Sore to touch', 'Abdominal Pain', 'Muscle Cramp', 'Asacol', 'Visceral Myopathy', 'Diarrhea', 'Inflammatory Bowel Diseases', 'Crohn Disease', 'Inflammation', 'Epoprostenol', 'Malnutrition', 'Pain', 'Ulcerative Colitis', 'Prednisone']
67	Chrons Disease Meds	I have had Crohns Disease for about 2 1/2 years and have had successful treatment with Imuran, and Remicaid if Infusions. at my last appointment my doctor said I could stop taking Pentasa --- I have been without a flare-up for almost a year. I also have ADHD which I take Vyvance 70 mg on weekdays ...... My question is this: Does Imuran and Remicaid and the previous medications taken to treat my Crohnes disease make it harder for me to loose weight? I am 39 years old and have 2 children, I am 5.4' and weigh 220 lbs...... I have been able to loose weight here and there but cant keep it off..... I also recently started taking Prestique which typically patients loose an average of 10 lbs however I have not been able to loose any.... Do you have any suggestions that would help me loose some weight, I do have a treadmill and occassionally walk, however I work full time and quite often am very fatigued...... thank you very much for your time .... Teresa Pierce	['Crohn Disease', 'Walking (activity)', 'Pentasa', 'Full-time employment (finding)', 'Imuran', 'Attention deficit hyperactivity disorder']	[]	['Visceral Myopathy', 'Unexplained fevers', 'Diarrhea', 'atomoxetine', 'Crohn Disease', 'Nephrogenic Diabetes Insipidus, Type I', 'Pentasa', 'Seizures', 'Malnutrition', 'Ulcerative Colitis', 'Pain']
68	Random Stomach Pain/cramps Throughout the Day	i have crohns disease. i was diagnosed about 5 months ago. did the steroid thing, and it got everything to normal, never had any flare ups or anything after the prednisone steroid treatment put it into remission or whatever its called. so everything has been fine and i have continued taking asacol daily. so everything was fine and normal and i was happy =) but the past few days i have been having random stomach pains/cramps throughout the day. it only lasts for 30 seconds to a minute. and i get it as often as every 5-10 minutes or every half hour or hour throughout the day. it started about 4-5 days ago. i once had food poisoning last summer, and the pain kind of feels like that, just not as intense (anyone that has had food poisoning knows how bad it hurts/feels) so this felt sort of like that, just not to the point where i had to lie in bed all die in extreme pain like food poisoning. im still able to go about doing daily things, and it hurts, just not as bad. so the only thing i can describe it as is similar to the pain i had when i had food poisoning but just not as bad as that. ive also noticed that my gas (farts) smell a LOT worse than normal. like a nasty rotten smell lol. which is fun when you have roommates and want to annoy them. anyway i was wondering what this pain i am having might be and if it is related to my crohns (hopefully it isnt). if anyone knows what this might sound like or knows anything at all please reply and help me out. if you need more info from me let me know. thanks everyone	['Crohn Disease', 'Flare', 'Steroids', 'Food Poisoning', 'Flatulence', 'Prednisone', 'Pain']	[]	['Sore to touch', 'Abdominal Pain', 'beta2-Adrenergic Agonist [EPC]', 'Muscle Cramp', 'Visceral Myopathy', 'telithromycin', 'Diarrhea', 'atomoxetine', 'Inflammatory Bowel Diseases', 'Crohn Disease', 'Malaise', 'Inflammation', 'Proteins', 'Ulcer', 'Flatulence', 'Malnutrition', 'Decrease in appetite', 'Pain', 'Ulcerative Colitis', 'Prednisone', 'Food Poisoning']
69	diarrhea and anxiety	Hi, i'm recovering from a surgery to remove appendix and part of my colon after some really scared and inflamed tissue related to a history of Crohn's Disease. I'm trying to get to eating solid foods after being out of surgery 1 1/2 weeks but a couple of times I've had what seems to be severe diarrhea and when that happens its accompanied with my whole body feeling hot and cold. I feel unsettled mentally and if I lay down it feels like a yo-yo back and forth from a hot flash to a cold flash and then back.. Also, i get a feeling of being disconnected mentally and i have anxiety and it almost feels like i'm close to having a panic attack. Its like I just cannot be mentally calm and my mind is racing and jumping all over. When the diarrhea is over i feel drained and I'm really tired. If I get sleep and relax its gone and i'm better and back to normal with not much anxiety. From that point i may be okay for a while but if I happen to have the bad diarrhea again i'll feel the same. What should I do about the diarrhea and what are everybody's opinions about the anxiety? Has anybody heard of this? Any suggestions on how I can eat to lessen the chance of diarrhea or anything else would be awesome... its seems like my anxiety and diarrhea are related. Mateorx8	['Crohn Disease', 'Anxiety', 'Panic Attacks', 'Sensation of hot and cold', 'Psyche structure', 'Flash', 'Severe diarrhea', 'Diarrhea', 'Hot flushes']	['Rapamune', 'Crohn Disease', 'golimumab', 'Lymphoma', 'Diarrhea', 'Monoclonal antibodies, antineoplastic', 'Anxiety']	['Sore to touch', 'Abdominal Pain', 'beta2-Adrenergic Agonist [EPC]', 'Muscle Cramp', 'Visceral Myopathy', 'Unexplained fevers', 'Diarrhea', 'Tacrolimus', 'Itraconazole', 'Inflammatory Bowel Diseases', 'Crohn Disease', 'atomoxetine', 'Anxiety', 'Psyche structure', 'Malaise', 'Inflammation', 'Amiloride', 'Nephrogenic Diabetes Insipidus, Type I', 'Polyuria', 'Epoprostenol', 'Ulcer', 'Hot flushes', 'Malnutrition', 'Decrease in appetite', 'Pain', 'Ulcerative Colitis']
70	Crohn's post-op	Hey About six months ago I had to have a bowel resection, as my disease went undiagnosed for a while. It ended up that I was very seriously ill. Part of my illness is that my bowel formed a fistula with my bladder. This infected my bladder, which in turn infected my right kidney and blocked it up (doctors told me that if it went on for much longer I could have had kidney failure). I have had a lot of treatment since then but have noticed a few things in the last month. I am not taking any anti-crohns disease medication yet, I am only on an Iron and multivitamin supplement at the moment. But I am having the following symptoms, please tell me if I have something to worry about, or if I am looking too deeply into these: - Every now and then, my left kidney is twitching (this isn't the one that was fully infected). It feels as if it is beating and pulsating. - Any time I check my heart rate (at rest) it seems to be quite high. It can be anywhere between 90 - 126 beats per minute. - Occasionally I am getting headaches. the front of my head hurts. - Diahorrea all the time (although I understand that there are things I shouldn't be eating now that I can't digest everything lol) - Breathlessness. This could be even from running up 2 flights of stairs at home, which I have never had any problem with. This breathlessness only lasts for about 10 seconds and then I'm fine. - My thumb keeps on doing this thing where if I try to hold it still, it moves and twitches itself, and no matter how hard I try to keep it still I can't. (this is probably completely unrelated) That's all. Please let me know if I'm just havering (as we say in Scotland) and I have nothing to worry about, or otherwise. Heid	['Nothing', 'Running (physical activity)', 'Dyspnea', 'Headache', 'Iron', 'Multivitamin preparation', 'Kidney Failure']	[]	['Sore to touch', 'Abdominal Pain', 'beta2-Adrenergic Agonist [EPC]', 'Muscle Cramp', 'Visceral Myopathy', 'Diarrhea', 'Dyspnea', 'Inflammatory Bowel Diseases', 'Crohn Disease', 'Malaise', 'Inflammation', 'Epoprostenol', 'Malnutrition', 'Headache', 'Pain', 'Ulcerative Colitis']
72	melanoma on R. arm - Breslow depth 0.6mm, Clark's level 111	Hello all, I may add way too much information but since I don't really understand anything of what my doctor told me I don't know what to add and what not to. My main concern was that she told me she wasn't going to put me under anesthesia when she removed my melanoma...lol...she said it would leave a very large scar!! Who doesn't put someone asleep when they do surgery that leaves a very large scar?? Anyway, Yesterday my dermatologist informed me that the scrape biopsy she did on my upper right arm came back as the following: Skin: upper tight arm; invasive Malignant Melanoma, Nevoid Type, Breslow Depth 0.6mm, Clark's level 111 with Involved Peripheral Margins. Under Comment: Step level sections show epidermal consumption and a poorly circumscribed compound melanocytic proliferation. The dermal melanocytes demonstrate significant cytologic atypia and I see no maturation with increase in dermal depth. There are numerous mitotic figures. The findings are most consistent with an invasive malignant melanoma nevoid type. The Breslow depth is 0.6mm and the Clark's level is 111. A lymphocytic host response is present but not brisk. The mitotic rate is 4 per mm2. I see no lymphovascular invasion or ulceration. Hhhhuuuu??? Any help with just putting that into a few simple words. AND - why aren't they going to put me to sleep to remove this???	"[""Clark's melanoma level"", 'Lymphatic Invasion', 'Ulcer', 'Tumor margin status', 'Biopsy', 'melanoma', 'Cicatrix', 'Cytologic atypia', 'Mitotic Figure']"	"['melanoma', 'Neupro', ""Clark's melanoma level"", 'Skin Cancer', 'Finding', 'Complexion']"	['Puncture biopsy', 'Merkel cell carcinoma', 'melanoma', 'Communicable Diseases', 'Lesion', 'Cicatrix', 'Basal cell carcinoma', 'Biopsy', 'Ulcer', 'Neoplasm Metastasis', 'Squamous cell carcinoma', 'Skin Cancer']
74	squamous cell skin cancer	I am a 33 year old male and just recently noticed a brown spot about one inch below my waist. It has been there for ten years because I remember seeing it and I just thought that it was a mole. Last week I was paying attention to my pubic area because I had a seborrheic keratosis that was itching and noticed that this spot looked bigger than what it did ten years ago. The dermatologist biopsied it and it came back squamous cell. I do not know if he removed the mole by a shave or excision technique. Either way he removed the mole. He said my treatment was Aldara cream for twelve treatments and that I needed to come back in a month. I was confused so I called back and the nurse said that I caught it early and that the cream would suffice and that if it was invasive I would get complete excision or be referred to a specialist. My question is if this is an appropriate method for my diagnosis? If the cancer was deep enough then exicision would be more appropriate correct? Also, is the pubic area anything to be concerned with since it is an uncommon area for skin cancer? The only reason that I can think of it not being in a non-sun exposed area is genetics. Any input would be appreciated as this is worrying me to death and I am losing sleep.	['Skin Cancer', 'Seborrheic keratosis', 'Malignant Neoplasms', 'Aldara']	['Skin Cancer', 'Skin neoplasms malignant and unspecified (excl melanoma)', 'Squamous cell carcinoma of skin']	['Squamous cell carcinoma', 'Lesion', 'Basal cell carcinoma', 'Merkel cell carcinoma', 'Vemurafenib', 'melanoma', 'Squamous cell carcinoma of skin', 'Communicable Diseases', 'Cutaneous Melanoma', 'Skin Cancer']
75	Diagnosed with SCC	I had this pearly skin lump on my upper shoulder blade same color as my skin for about 5 years. i was never really concerned . over last 6 months had changed in color, size, developed red veins and a scab in the center. A few weeks ago started bleeding so i went to the doctor, Did biopsy... diagnosed with SCC. GO tomorrow to have excision of tissue... my concern is if it could have spread, because i have had it for a long time... what should I ask my doctor tomorrow?	['Biopsy', 'Mass of skin', 'Hemorrhage', 'Tomorrow']	[]	['Merkel cell carcinoma', 'melanoma', 'Basal cell carcinoma', 'Skin Cancer']
76	Melanoma Skin Cancer	my mom was diagnosed with melanoma last year, she had it in her neck then she had it cut out... she has not gone back to the Doctor since October and this summer has been laying in the sun all summer, she puts 4 sun tanning oil on, and lays in the sun for at least two hours a day, I dont know too much about all of this so I was wondering if anyone knew how bad this is and what are the chances she probably has it again and how bad might it be? I'm 22 years old I know little bits about the caner but not much, so if anyone could help me out and give me information on how serious the situation would be I would really appreciate it	['Sunbathing', 'melanoma', 'Oils', 'PTPNS1 protein, human']	['Skin Cancer', 'Primary malignant neoplasm of skin', 'Cutaneous Melanoma']	['Basal cell carcinoma', 'Merkel cell carcinoma', 'melanoma', 'Skin Cancer']
78	Aldara For Actinic Keratoses	I recently had mohs procedure done to remove squamous cell carcinoma on my scalp. The scar has healed, and my dermatologist prescribed Aldara cream to be applied daily for about 3 weeks to a large area on my scalp where there are several actinic keratoses visible (she biopsied them). After 8 hours I wash it off. My concern is about the side effects I keep reading about Aldara. I've used it for 2 nights in a row now and am already feeling flu like symptoms and have noticed that my occipital lymph node is swollen and tender. Other than some slight itching, I'm not having much reaction at the site of application. Could the other symptoms be related to the Aldara or have I just been reading too much on the internet?	['Influenza-like symptoms', 'Cicatrix', 'Pruritus', 'Reading (activity)', 'Aldara', 'Actinic keratosis', 'Squamous cell carcinoma']	['Skin Cancer', 'Aldara', 'Actinic keratosis', 'Neoplastic Processes']	['Merkel cell carcinoma', 'melanoma', 'Communicable Diseases', 'Lesion', 'Influenza-like symptoms', 'Cicatrix', 'Basal cell carcinoma', 'Pruritus', 'Squamous cell carcinoma', 'Skin Cancer']
79	MS & hysterectomy	I do not know if anyone can help / give advice regarding this but... In February 2017, I was diagnosed with MS. Fast forward to eleven weeks ago on February 14, 2018 (of all days)I had a complete hysterecetomy. This hysterectomy was sudden, as uterine cancer had been discovered. (My mother had died from uterine cancer.) Thankfully it was caught in the early stages, and requires no further treatment. My main issue with MS has always been leg weakness, more than anything else. The first 3 weeks after surgery I was feeling great and getting around reasonably well. The next day, (22nd day) I bottomed out with severe leg weakness, aka bedridden for almost a week and the weakness has been up, down, and all around since then. It's now 11 eleven weeks after the surgery. I read numerous other posts re hysterectomy experiences, but none seem to be like mine. Mine may be more profound / intense as I had a day surgery just 4 months earlier to remove a benign parotid tumor, that ironically was discovered the same time as my MS, in a MRI scan. So I basically had 2 surgeries within 4.5 months. I've contacted my MS Clinic, a few times, and they say I have to give it extra time, especially since its two surgeries in less than half a year. Not that the 2nd one was elective... cancer is cancer. They say I've basically been hit by a truck twice... give it more than the average time for recovery. Do not really have a choice. Has anyone else been through similar, or knows of anyone who has? Is there a 'light at the end of this tunnel' so to speak? Thanks for any input!	['Monoparesis - leg', 'Malignant Neoplasms', 'Choice Behavior', 'Uterine Cancer', 'Benign neoplasm of parotid gland']	[]	['Multiple Sclerosis', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Numbness', 'Blurred vision', 'tinzaparin', 'Condoms, Male', 'Effexor', 'Optic Neuritis', 'Pain', 'Communicable Diseases', 'Monoparesis - leg']
80	Confused, newly diagnosed, need some help on what to do	I was recently diagnosed with MS. I've come to terms with the diagnosis, but I'm going for a 2nd opinion on Friday since the original Neurologist did not perform a lumbar puncture as he said it wasn't necessary and he was 99% positive MS was my diagnosis. MRI's have shown multiple lesions in the brain and 1 lesion in my cervical spine. Typical symptoms for me have been cold/tingling feet, calf twitching on both sides (primarily right) and tingling sensations in both hands. Lhermitte's sign is very present and quite frustrating. I read a lot about remission in terms of MS but I have been experiencing some sort of issue for about 4 months with maybe 1 or 2 days where I have felt normal. Not to get too personal but things with my wife and I have been troublesome over the last month and I have experienced 4 instances where my left arm gets a sudden rush of pins and needles, my fingers lock and I can barely move the limb...the tingles eventually spread up my left shoulder and then my right arm begins feeling the same sensations but to a slightly lesser degree, in each instance there has been an extremely stressful situation at home preceding the attack. My question is if this is actually a possible MS symptom or if I should go to the hospital to ensure I am not having mini strokes of some sort, my understanding is that TIA's typically attack only 1 side of the body. I have 1 uncle that died from stroke, aside from that there is no family history. I am 30 years old and these attacks scare me to no end. I would have gone to the hospital last night but my wife was out all night with friends from work and I couldn't leave the house with my 3 year old daughter there....couldn't dial a phone and could barely drive anyway, much less pick up my sleeping child and put her in the car. The attack lasted roughly 2 hours, the intensity started to fade after about 30 minutes. Any help or advice on this issue would be appreciated. Thank you.	"['Pins and needles', 'Multiple lesions', 'Lesion', 'Has tingling sensation', 'Spinal Puncture', 'Muscle twitch', 'Cerebrovascular accident', 'Magnetic Resonance Imaging', 'Mini-Stroke', 'Transient Ischemic Attack', ""Barber's chair sign positive""]"	[]	['Communicable Diseases', 'Lesion', 'Spinal Puncture', 'Condoms, Male', 'Aspirin', 'Effexor', 'Magnetic Resonance Imaging', 'Cerebrovascular accident', 'Numbness', 'Multiple Sclerosis', 'Transient Ischemic Attack', 'Has tingling sensation', 'Optic Neuritis', 'Pain']
